location,created_at,screen_name,description,user_id,tweets_per_user,sarcasm,disease,timezone,text,posted_by,query,coordinate,tweet_id,talk_about
,18/04/2016 15:59,ATXEQL,,1299306031.0,15.0,sarcasm,HIV,None,#IrritateMeIn4Words bill clinton has AIDS,Individual,#HIV,None,7.22092e+17,celeb
,11/04/2016 19:59,givenscandice7,,,1.0,sarcasm,HIV,None,#Prince   AIDS DEAD,Individual,#HIV,None,7.19616e+17,celeb
,08/04/2016 10:43,Blogxpcom,,447859275.0,1.0,sarcasm,HIV,Mountain Time (US & Canada),$20 says Prince got AIDS from David Bowie,Individual,#HIV,None,7.18389e+17,celeb
,08/04/2016 07:55,xxBEGAILxx,,2415562138.0,1.0,sarcasm,HIV,Atlantic Time (Canada),Jeremy lins hairstyle is giving me aids,Individual,AIDS,None,7.18346e+17,celeb
,12/04/2016 05:55,Jimmy_Arniel,,2603788669.0,3.0,,HIV,Pacific Time (US & Canada),@All_Trends_IT Bieber is the new Charlie Sheen .. #HIV .. it's only a matter of time,Individual,#HIV,None,7.19766e+17,celeb
,12/04/2016 18:49,ItsFrnco10,,17145161.0,5.0,,HIV,Central Time (US & Canada),"Thank you, Senator Michael Brown, for supporting #syringeexchange &amp; #RyanWhite to fight #HIV @HIVMA #RWMPC #EndAIDS https://t.co/yKfCV1StHR",Individual,#HIV,None,7.19961e+17,celeb
"Tucson,Az",21/04/2016 14:41,arab1anstar,,135618578.0,1.0,,HIV,None,"#OnThisDay 1992: Retired tennis great Arthur Ashe announces that he has AIDS, acquired from blood transfusions during one of his two heart ...",Individual,#HIV,None,7.2316e+17,celeb
,09/04/2016 05:56,TruthMvmntNews,,,6.0,,HIV,None,#Prince AIDS kills,Individual,#HIV,None,7.18679e+17,celeb
,17/04/2016 16:42,DokterJizzmoppe,,4824558177.0,1.0,,HIV,None,#prince died of aids,Individual,#HIV,None,7.21741e+17,celeb
,21/04/2016 09:30,UnfpaSyria,,3589265175.0,2.0,,HIV,Pacific Time (US & Canada),#Prince died of AIDS get over it ---- #PrinceDeadFromAIDS,Individual,#HIV,None,7.23081e+17,celeb
,08/04/2016 11:10,H_eHA,,25341986.0,1.0,,HIV,Eastern Time (US & Canada),"#Prince, let the guessing begin. #Aids #Hep #IllegalDrugOD #ScriptDrugOD #suicide #Carridined",Individual,#HIV,None,7.18396e+17,celeb
,08/04/2016 20:00,sethrow991,,,6.0,,HIV,None,#PrinceHadAids AIDS,Individual,#HIV,None,7.18529e+17,celeb
"Manchester, England",07/04/2016 19:34,sethrow991,,150677227.0,2.0,,HIV,None,#PrinceRIP There r rumours he died of aids..   Still a legend   Raspberry beret,Individual,#HIV,None,7.1816e+17,celeb
,07/04/2016 19:32,sethrow991,,,1.0,,HIV,None,#RIPPrince Prince died of aids....,Individual,#HIV,None,7.1816e+17,celeb
,22/04/2016 01:23,bakemonogatarig,,,6.0,,HIV,None,#RIPPrinceRogersNelson AIDS,Individual,#HIV,None,7.23321e+17,celeb
"Beavercreek, OH",11/04/2016 07:24,SelectClinical,,313643791.0,1.0,,HIV,None,"#RyanWhite Remembering Ryan White, the teen who fought against the stigma of AIDS https://t.co/ylQ4CAoI4x via @NewsHour",Individual,#HIV,None,7.19426e+17,celeb
,20/04/2016 09:34,MenEngageAfrica,,244589787.0,1.0,,HIV,Eastern Time (US & Canada),#WashingtonSquarePark #Bernie knows the history of Stonewall. Hillary praises Reagan for his effective advocacy for HIV/AIDS awareness,Individual,#HIV,None,7.2272e+17,celeb
,18/04/2016 21:48,gaymen_online,,4916575213.0,1.0,,HIV,None,#why r ppl say n Prince had aids i don't understand nor care i'm a fan and i loved his music,Individual,#HIV,None,7.2218e+17,celeb
,10/04/2016 09:54,BiologyTopNews,,62117408.0,1.0,,HIV,Mountain Time (US & Canada),*talking about Prince* Robin: how did he die?  Lauren: well he went to the hospital *Robin interrupts*  Robin: damn he had AIDS?,Individual,#HIV,None,7.19101e+17,celeb
,16/04/2016 21:54,BiologyTopNews,,279185940.0,1.0,,HIV,Hawaii,. RT @ModelBroaddd: 57 year old MILLIONAIRES don't die of the flu  sorry not sorry Prince had AIDS https://t.co/2rMYj5hyLq,Individual,#HIV,None,7.21457e+17,celeb
,09/04/2016 06:21,Trinesteensen,,54433194.0,1.0,,HIV,Pacific Time (US & Canada),.....why me just ask me if Prince died of AIDS jdjshsjdj,Individual,#HIV,None,7.18685e+17,celeb
"Land O' Lakes, FL",11/04/2016 04:00,laxmionline,,903062762.0,1.0,,HIV,Eastern Time (US & Canada),@_bigbadwolfe22 @Dfranklin65 I'll take Magic post-AIDS over Larry Bird smh,Individual,#HIV,None,7.19375e+17,celeb
,15/04/2016 01:07,blundell_judy,,,1.0,,HIV,None,"@_Birdy_Girl_ @equizmen bitch you are not kim Kardashian, you're a, slut that NO descent man wants Get a Life Bitch!!!!!#Aids.",Individual,#HIV,None,7.20781e+17,celeb
,21/04/2016 00:11,FOX5MedicalTeam,,470148264.0,4.0,,HIV,London,"@_damnhoe: ain't nobody dyin from just havin the flu, prince had aids.  Even if he did have aids, you clearly don't know how it works",Individual,#HIV,None,7.22941e+17,celeb
uw seattle,11/04/2016 19:54,SenaChat,,538728972.0,1.0,,HIV,Pacific Time (US & Canada),@_khaleesiii_ someone said he might've had aids,Individual,#HIV,None,7.19615e+17,celeb
"Hamilton, Ontario",22/04/2016 03:06,TimKcomic,"@MyattMyAss is mine, host @HashTagFelons, + @UnhingedTags, host of @TWOTWPodcast, https://t.co/rG8ckdfnmR  ,  @patreon support link https://t.co/asDLPWc9wV",2191701846.0,8.0,,HIV,None,#WereGonnaPartyLikeIts Charlie Sheen pre-AIDS,Individual,AIDS,None,7.23347e+17,celeb
"Roseville, CA",19/04/2016 11:57,ShitLilJoeSays,"@ShitPhantomSays could not satiate my urges.  So I created this twitter feed.  Enjoy, cockmasters! -MJ",946688803.0,2.0,,HIV,None,"13 April, on Charlie Sheen going rogue: That's what happens when you have the AIDS, @DonGeronimoShow. Thank God I don't have it...",Individual,AIDS,None,7.22394e+17,celeb
"Michigan, USA",07/04/2016 02:54,HLRacicot,````````````````Born Loser``````````````````````,490240593.0,1.0,,HIV,Pacific Time (US & Canada),The problem with AIDS is it's too slow: LAPD Investigate Charlie Sheen For Threatening To Kill Fiancee https://t.co/i57pDiSPR1 via @Variety,Individual,AIDS,None,7.17908e+17,celeb
"Providence, Rhode Island",12/04/2016 14:57,WIDDED,"5'5 with the soul of a 6ft nigga...reppin da 401, LIB all day..instagram: @BennyBobby...SnapChat: ZZ-86...#teamgreenmachine, #teamtmz, #teamsingle",189061495.0,1.0,,HIV,None,Wut if magic gave Charlie sheen AIDS?  @Weezy401 @OceANStaTeJAck @RandmAfcnSounds @Luis_the_13th @MagnificentVee @CrazOldMaurice,Individual,AIDS,None,7.19902e+17,celeb
"Riverside, CA",07/04/2016 03:25,delilahX0,A funny thing about Tolerant people is They're really only Tolerant when you agree with them,4667045941.0,1.0,,HIV,None,Charlie Sheen needs to spend the rest of his days behind bars https://t.co/jPsRRn7bON,Individual,AIDS,None,7.17916e+17,celeb
"Victoria, Australia",07/04/2016 08:10,cjcallum1,Aussie  Manchester United,3239480192.0,1.0,,HIV,None,@EASPORTSFIFA your game is wank it has more aids then charlie sheen,Individual,AIDS,None,7.17988e+17,celeb
New Haven,21/04/2016 17:45,BudgieBigelow,"Author of Askharoth,Desperately Seeking Shemale, and Draken, Son of Drog on Amazon Kindle. Blogger of short fiction and #FreedomLane.",575867885.0,1.0,,HIV,None,@vintagetango Prince had AIDs before Charlie Sheen made it cool.,Individual,AIDS,None,7.23206e+17,celeb
"Tampa, FL",07/04/2016 11:15,zigy1213,"Born in Tampa, Fl.... sports capper, weed lover, entrepreneur",1276052636.0,1.0,,HIV,None,So Charlie sheen has aids...so through all the years he has had countless famous girlfriends/porn stars..has anybody put 2&amp;2 together ??,Individual,AIDS,None,7.18034e+17,celeb
in the Chi...,13/04/2016 21:31,J_Gooder,Brutally Honest Nigga,119971724.0,2.0,,HIV,Eastern Time (US & Canada),My nigga Sheezy in LA smokin on Charlie Sheen loud pack I told him don't catch AIDS,Individual,AIDS,None,7.20364e+17,celeb
"New York, USA",07/04/2016 20:49,theMBLgaming,"Content Creator for @Fullscreen , Sponsor: @CinchGamig 5% off themblgaming youtube below",1203111247.0,1.0,,HIV,None,@SteveGreeneCOM wanna hear a joke? Charlie sheen called he wants his aids back,Individual,AIDS,None,7.18179e+17,celeb
Stalking Robert Downey JR.,07/04/2016 05:36,nicholeleeolee,"Diana made me do this|Yvonne is cute|Sarai,Illeana and Brenda are my faves|Alex is pretty great 03-14-15|",4837251312.0,1.0,,HIV,Pacific Time (US & Canada),@fake_irl I guess Charlie Sheen has aids and I have you.,Individual,AIDS,None,7.17949e+17,celeb
New Orleans,21/04/2016 22:39,exhxdx,D-List Ethan Hawke. Kali Yuga Mosh. All that lean make my voice raspy.,3291037459.0,3.0,,HIV,None,Prince Got AIDS From Charlie Sheen,Individual,AIDS,None,7.2328e+17,celeb
Sanctum Sanctorum,20/04/2016 11:52,The_Statement,Everything I tweet is a lie.,27912357.0,2.0,,HIV,Eastern Time (US & Canada),Charlie Sheen was really out here marketing Tiger Blood with AIDS the whole time lol,Individual,AIDS,None,7.22755e+17,celeb
SWOOOPNATION,08/04/2016 19:37,iLLnigma,"For booking: Press inquiries, performances, or appearances email iLLnigma1@gmail.com",65488306.0,1.0,,HIV,Eastern Time (US & Canada),@Royceda59 that line you said about leave you in a cell with Charlie Sheen I bet you take that back now! #HIV,Individual,#HIV,None,7.18523e+17,celeb
,07/04/2016 10:25,fuckboy_joey,"fuck boy.               Webster,MA                                        you're*                   snapchat: joey1217",845792964.0,1.0,,HIV,None,Lmao on top of having aids Charlie Sheen is being charged with trying to have his ex girlfriend murdered,Individual,AIDS,None,7.18022e+17,celeb
w/ tay or @ disneyland,16/04/2016 21:20,xo__lauurenn,glendora high '16,2845486837.0,1.0,,HIV,Pacific Time (US & Canada),"Brother: speaking of aids, I saw magic johnson &amp; charlie sheen at the dodger game yesterday",Individual,AIDS,None,7.21448e+17,celeb
,21/04/2016 17:03,wowcoolstory,Hi,979021236.0,2.0,,HIV,None,Looks like Charlie Sheen wasn't the only big celebrity with Aids. #RIPPrince,Individual,AIDS,None,7.23195e+17,celeb
,12/04/2016 00:06,zerodecoded,I am Kevin.,1526821538.0,6.0,,HIV,None,They say that Bill Cosby raped a bunch of people. I hope he didn't rape Magic Johnson or Charlie Sheen because they both have aids.,Individual,AIDS,None,7.19678e+17,celeb
Birmingham/Kernow,15/04/2016 20:00,franksayles2,I can't finish a footlong,499258538.0,1.0,,HIV,Casablanca,Two and Half Men makes me sick it's so unfunny. Charlie Sheen getting Aids was God's way of taking that show lightly fuck.,Individual,AIDS,None,7.21066e+17,celeb
"Massachusetts, USA",08/04/2016 00:36,Chris_topher_Mc,I gladly retweet people who follow & retweet me. I can often be found with Ken Pittman on his radio show on WBSM 1420AM,434559012.0,1.0,,HIV,None,"Charlie Sheen, HIV, a Tabloid and My Insane 2-Year Hunt for a Story https://t.co/w8cEQYC5w1 @thr #CharlieSheen #HIV #AIDS #Gossip #Film",Individual,#HIV,None,7.18236e+17,celeb
Razorback Nation,08/04/2016 11:42,lrc328,"I love America no matter how flawed she may be. Anger is not a platform. Don't DM me, bro. I'm usually right even when I'm wrong. #WPS",85578369.0,1.0,,HIV,America/Chicago,"@_David_Edward Maybe they meant in the Charlie Sheen, do blow, sleep with hookers, &amp; contract AIDS type of winning.   \_()_/",Individual,AIDS,None,7.18404e+17,celeb
