tweet_id,query,disease,created_at,screen_name,text,description,location,timezone,user_id,coordinate,tweets_per_user,posted_by,talk_about,sarcasm
7.22092E+17,#HIV,HIV,18/04/2016 15:59,ATXEQL,#IrritateMeIn4Words bill clinton has AIDS,,,None,1299306031,None,15,Individual,celeb,sarcasm
7.19616E+17,#HIV,HIV,11/04/2016 19:59,givenscandice7,#Prince   AIDS DEAD,,,None,,None,1,Individual,celeb,sarcasm
7.18389E+17,#HIV,HIV,08/04/2016 10:43,Blogxpcom,$20 says Prince got AIDS from David Bowie,,,Mountain Time (US & Canada),447859275,None,1,Individual,celeb,sarcasm
7.18346E+17,AIDS,HIV,08/04/2016 07:55,xxBEGAILxx,Jeremy lins hairstyle is giving me aids,,,Atlantic Time (Canada),2415562138,None,1,Individual,celeb,sarcasm
7.19766E+17,#HIV,HIV,12/04/2016 05:55,Jimmy_Arniel,@All_Trends_IT Bieber is the new Charlie Sheen .. #HIV .. it's only a matter of time,,,Pacific Time (US & Canada),2603788669,None,3,Individual,celeb,
7.19961E+17,#HIV,HIV,12/04/2016 18:49,ItsFrnco10,"Thank you, Senator Michael Brown, for supporting #syringeexchange &amp; #RyanWhite to fight #HIV @HIVMA #RWMPC #EndAIDS https://t.co/yKfCV1StHR",,,Central Time (US & Canada),17145161,None,5,Individual,celeb,
7.2316E+17,#HIV,HIV,21/04/2016 14:41,arab1anstar,"#OnThisDay 1992: Retired tennis great Arthur Ashe announces that he has AIDS, acquired from blood transfusions during one of his two heart ...",,"Tucson,Az",None,135618578,None,1,Individual,celeb,
7.18679E+17,#HIV,HIV,09/04/2016 05:56,TruthMvmntNews,#Prince AIDS kills,,,None,,None,6,Individual,celeb,
7.21741E+17,#HIV,HIV,17/04/2016 16:42,DokterJizzmoppe,#prince died of aids,,,None,4824558177,None,1,Individual,celeb,
7.23081E+17,#HIV,HIV,21/04/2016 09:30,UnfpaSyria,#Prince died of AIDS get over it ---- #PrinceDeadFromAIDS,,,Pacific Time (US & Canada),3589265175,None,2,Individual,celeb,
7.18396E+17,#HIV,HIV,08/04/2016 11:10,H_eHA,"#Prince, let the guessing begin. #Aids #Hep #IllegalDrugOD #ScriptDrugOD #suicide #Carridined",,,Eastern Time (US & Canada),25341986,None,1,Individual,celeb,
7.18529E+17,#HIV,HIV,08/04/2016 20:00,sethrow991,#PrinceHadAids AIDS,,,None,,None,6,Individual,celeb,
