tweet_id,query,disease,created_at,screen_name,text,description,location,timezone,user_id,coordinate,tweets_per_user,posted_by,talk_about,sarcasm
7.40046E+17,Fibromyalgia,Fibromyalgia,07/06/2016 05:02,1strongwoman4me,raindoodlie: #Repost @fibromyalgia_inspirational  Morgan Freeman suffers from fibromyalgia (you... https://t.co/A3mIBpbH7i,"outgoing, loves bright, intellectual conversation,Special Ed Advocate AUTISM, #fibro #Lupus https://t.co/WaL3mrwo71",California  baby!,Pacific Time (US & Canada),619072030,,,Individual,celebrity,
7.19527E+17,Fibromyalgia,Fibromyalgia,11/04/2016 14:06,AngelinaSusan2,Fibromyalgia skittish factors - swish which are alterum?: IwyBd,,,Brussels,1223410880,,,Individual,don't know,
7.19534E+17,Fibromyalgia,Fibromyalgia,11/04/2016 14:35,alovelyuniverse,Fibromyalgia News Today,"Es ist alles lacherlich, wenn man an den Tod denkt. (T. Bernhard)",Nowhere (1997),Amsterdam,484693626,,,Individual,don't know,
7.19554E+17,Fibromyalgia,Fibromyalgia,11/04/2016 15:53,AdrielsLife,I'm just a really loyal person.  Happy Monday everyone!  #coffeeislife #momlife #fibromyalgia #spoonieproblems https://t.co/cBOt7FALmm,"Sharing my life with fibromyalgia, my constant struggle to eat real, healthy food, and to live a more natural life.",,,2895348156,,,Individual,don't know,
7.19928E+17,Fibromyalgia,Fibromyalgia,12/04/2016 16:39,apickylady,"Anyone in the Los Angeles area who is suffering from fibromyalgia, there is now a clinical trial being held.  I'm... https://t.co/iy7eCM9fsr",social worker/author,"moreno valley,  ca",Pacific Time (US & Canada),37611145,,,Individual,don't know,
7.20977E+17,Fibromyalgia,Fibromyalgia,15/04/2016 14:06,21stCenHealth,Microbial Origins  of Fibromyalgia https://t.co/ghaBFVrmmM #health https://t.co/roAh1UyR8x,Tweeting #health news & alternative treatment solutions. Featured alternative treatment: https://t.co/mNNsYj1mLj,Everywhere,Pacific Time (US & Canada),,,,Individual,don't know,
7.21165E+17,Fibromyalgia,Fibromyalgia,16/04/2016 02:37,voon28260442,"Invisible Illness, Chronic Pain, Chronic Illness, Fibromyalgia, Lupus Awareness, Endometriosis, POTS... https://t.co/twjUxSHAUs","You are great and I love you! I'm a GIRL with 5 birds and a Teddy Bear Hamster! Living in a magickal world. Love, Spirituality and Freedom.",I'm in Longueuil!,,2782056436,,,Individual,don't know,
7.21585E+17,Fibromyalgia,Fibromyalgia,17/04/2016 06:24,aaksgirls,Steve Broadbent https://t.co/c48uWBIejs,,Kingman Az,Pacific Time (US & Canada),413600786,,,Individual,don't know,
7.22013E+17,Fibromyalgia,Fibromyalgia,18/04/2016 10:46,AngelinaSusan2,Fibromyalgia snug factors - with which are my humble self?: NCHhY,,,Brussels,1223410880,,,Individual,don't know,
7.22228E+17,Fibromyalgia,Fibromyalgia,19/04/2016 01:00,Amyv93,Sometimes this has to happen #invisibleillness #fibromyalgia @invisibleillwk https://t.co/ejl8a7MQMw,Author of The Necklace (coming Fall 2016 through Word Alive Press). Jesus follower. Whovian. Compassion sponsor.,"Saskatchewan, Canada",,,,,Individual,don't know,
7.22533E+17,Fibromyalgia,Fibromyalgia,19/04/2016 21:12,ZlataBrouwer,"How to Bow Comfortably and Fluently (with Arthritis or Fibromyalgia) | Vio https://t.co/wZz89f2k34 #violin, #viola https://t.co/gbDljV0Wqo",owner @zlatastrijk and  violin teacher at http://t.co/O66vM9XOJs and http://t.co/gC0trkLPcl,"Hilversum, Netherlands",Greenland,60551479,,,Individual,don't know,
7.22792E+17,Fibromyalgia,Fibromyalgia,20/04/2016 14:18,AnnaDsays,"@steamjetboomer RD, gymnastics, cheerleading, ballet en pointe, fibromyalgia,and 31 lbs boy who still loves to be carried",Attorney by day. Crazy cat lady by night. And mommy! Snark-aholic. Don't mess with Texas. #UTLAW #Longhorns #Seminole #fsu (*s)--denotes sarcasm,#TEXAS,Central Time (US & Canada),49834861,,,Individual,don't know,
7.22811E+17,Fibromyalgia,Fibromyalgia,20/04/2016 15:34,_HeyMisfit_,#WCW @thruthetrees11  I love my new brain. It's so silly and I was silly before #fibromyalgia,some crazy chick with her own superhero @kevytheb ...#BPD #Fibro #EYEbelieve,Where gray doesn't exist,,1873289480,,,Individual,don't know,
7.38755E+17,Fibromyalgia,Fibromyalgia,03/06/2016 15:32,AlyeskaDawn,"Migraine, Fibromyalgia Frequently Misdiagnosed as MS https://t.co/MWO0C3EyoG via @medscape",American Public Health Association (APHA) Keeping Health & Wellness' Prime Movers in top shape. We support public health initiatives everywhere,"Anchorage, Alaska",Eastern Time (US & Canada),396344859,,,Individual,don't know,
7.38756E+17,Fibromyalgia,Fibromyalgia,03/06/2016 15:34,zobrosky,30+ experts discussing why misdiagnosis &amp; improper treatment of #fibromyalgia is rampant! https://t.co/1rUUcSvzL6 https://t.co/yHX8tfxvxO,Specialized Life/Biz Transformation Coach  EFT/LOA Certified     Creator of 'Purpose & Wealth by Design' 12 wk Intensive,Northern California,Pacific Time (US & Canada),19728267,,,Individual,don't know,
7.38866E+17,#fibro,Fibromyalgia,03/06/2016 22:51,alm4500,Tshirts/bumper stickers available https://t.co/n2DiHmPXfZ #chronicpain #invisibleillness #rsd #pots #EDS #fibro #tn https://t.co/9xxo22l5xa,I've had RSD/CRPS for 18 years. I make/design awareness pictures to spread awareness for this horrific Illness and many others. I also have a store on Zazzle.,"New Jersey, USA",None,2249077726,,,Individual,don't know,
7.38871E+17,Fibromyalgia,Fibromyalgia,03/06/2016 23:11,aloanthatisback,"****Cure Any Autoimmune Disease *** Crohn's, TYPE 2 Diabetes, MS, Lupus, ...  F ... https://t.co/6UOmBjIkUZ https://t.co/BXt6gyRgGJ",,,Pacific Time (US & Canada),4866346240,,,Individual,don't know,
